... 3 chars, 7s
... 833 chars, 37s
... 1616 chars, 67s
... 2506 chars, 97s
... 3339 chars, 128s
... 4209 chars, 158s
... 5265 chars, 188s
... 6215 chars, 218s
... 6954 chars, 248s
... 8087 chars, 278s
... 8830 chars, 308s
... 9516 chars, 338s
... 10243 chars, 368s
... 10946 chars, 398s
... 11723 chars, 428s
... 12525 chars, 458s
... 13244 chars, 488s
... 14021 chars, 518s
... 15086 chars, 548s
... 15781 chars, 578s
... 16506 chars, 608s
... 17180 chars, 638s
... 17856 chars, 668s
... 18692 chars, 698s
GEN3 DONE chars=19119 finish=stop elapsed=711s
